"BeverageName","Description","Region","MainIngredient","Ingredient","FlavorProfile","IsCarbonated","AlcoholContent","BeverageType","ServingTemperature","IsGermanStaple"
"Abteibier","Trappist-style beer brewed by monks.","Bavaria, Austria, Switzerland","Barley","Barley, Hops, Water, Yeast, Wheat","malty, hoppy, yeasty, bitter, smooth","yes","7.0","beer","chilled","no"
"Adambier","A strong, dark lager with a rich and complex flavor.","North Rhine-Westphalia, Bavaria, Austria","Barley","Barley, Hops, Water, Yeast","bitter, malty, hoppy, yeasty, smooth, dry","no","5.5","Beer","chilled","no"
"Ale (Bier)","A malty beverage brewed with hops.","Bavaria, North Rhine-Westphalia, Austria","Barley","Barley, Hops, Water, Yeast","malty, hoppy, bitter, yeasty, dry","no","4.8","beer","chilled","yes"
"Alkoholfreies Bier","Non-alcoholic beer with a beer-like taste.","Bavaria, North Rhine-Westphalia, Austria","Barley","Barley, Water, Hops, Yeast","bitter, hoppy, malty, yeasty, refreshing","yes","0.0","Beer","chilled","yes"
"Alsterwasser","A refreshing lemon-lime soda with a hint of syrup.","Hamburg, Schleswig-Holstein, Lower Saxony, Austria","Lemon","Lemon juice, lime juice, sugar syrup, carbonated water","citrusy, sweet, refreshing","yes","0.0","Soda","chilled","yes"
"Altbier","A top-fermented beer with a distinct copper color and a balanced flavor.","North Rhine-Westphalia, Cologne, Dusseldorf","Malted Barley","Malted Barley, Hops, Water, Yeast","bitter, hoppy, malty, yeasty, smooth, dry","no","4.8","Beer","chilled","yes"
"Amberbier","A dark, malty beer with a rich amber color.","Bavaria, Austria, Czech Republic","Barley","Barley, Hops, Water, Yeast","malty, bitter, earthy, nutty, caramel-like, smooth","no","5.0","Beer","chilled","no"
"Aperol Spritz","A vibrant Italian aperitif cocktail.","Bavaria, Austria, Switzerland","Aperol","Aperol, Prosecco, Soda Water, Orange Slice","bitter, citrusy, fruity, refreshing, herbal","yes","11.0","Cocktail","chilled","no"
"Apfelsaft","Juice made from apples.","Bavaria, Baden-Wuerttemberg, Austria","Apple","Apple, Water, Lemon Juice, Ascorbic Acid","sweet, fruity, sour, refreshing","no","0.0","Juice","chilled","yes"
"Apfelschorle","Sparkling apple juice mixed with carbonated water.","Bavaria, Baden-Wurttemberg, Austria","Apple","Apple juice, carbonated water","sweet, fruity, refreshing, citrusy","yes","0.0","juice","chilled","yes"
"Aquavit","A distilled spirit flavored with caraway seeds and other spices.","Scandinavia, Northern Europe","Grain","grain, caraway, spices","spiced, herbal, bitter, refreshing","no","40.0","spirit","chilled","no"
"Aussereuropaeisches Bier","Beer brewed with ingredients from outside of Europe.","North Rhine-Westphalia, Bavaria, Austria","Barley","Barley, Hops, Water, Yeast, Non-European Hops, Non-European Malt","hoppy, bitter, malty, earthy, refreshing","yes","4.5","Beer","chilled","no"
"Averna","Italian herbal liqueur with a bittersweet flavor.","Bavaria, Austria, Switzerland","Herbs","herbs, roots, spices, sugar, alcohol","bitter, herbal, spiced, caramel-like, smooth","no","16.5","Liqueur","chilled","no"
"Baltic Porter","Dark, rich beer with roasted malt character.","Poland, Lithuania, Latvia, Estonia","Malt","Malt, Hops, Water, Yeast","bitter, malty, chocolaty, caramel-like, yeasty, smooth, earthy","no","5.5","beer","chilled","no"
"Baltisches Porter","Dark, rich porter with roasted malt character.","Baltic Sea region, Prussia, Poland, Lithuania","Malted Barley","Malted Barley, Hops, Water, Yeast, Caramel, Molasses","bitter, malty, chocolaty, caramel-like, yeasty, smooth, earthy","no","6.5","beer","chilled","no"
"Bananenweizen","Wheat beer flavored with banana.","Bavaria, Austria","Wheat","Wheat, barley, hops, water, banana, yeast","sweet, fruity, yeasty, smooth, refreshing","yes","4.8","beer","chilled","no"
"Barley Wine","Strong, malty beer with a rich, complex flavor.","United Kingdom, Belgium, Austria","Barley","barley, hops, yeast, water, malt","sweet, bitter, malty, fruity, spiced, caramel-like, nutty, yeasty, smooth","no","8.0","beer","room temperature","no"
"Bayrisch Hell","A light-bodied lager with a clean, crisp taste.","Bavaria, Austria, Switzerland","Barley","Barley, Hops, Water, Yeast","bitter, hoppy, refreshing, dry, smooth","yes","4.8","beer","chilled","yes"
"Belgisches Rotbier","A reddish-brown ale with a rich, complex flavor profile.","North Rhine-Westphalia, Belgium, Netherlands","Barley","Barley, Hops, Yeast, Water, Caramel Malt","bitter, hoppy, malty, caramel-like, yeasty, smooth, dry","no","7.5","Beer","chilled","no"
"Berliner Weissbier","A cloudy wheat beer with a tart and refreshing taste.","Berlin, Brandenburg, Saxony, Poland","Wheat","Wheat, barley, hops, water, yeast","sour, fruity, yeasty, refreshing, citrusy","yes","5.0","beer","chilled","yes"
"Berliner Weisse","A refreshing wheat beer traditionally served with fruit syrup.","Berlin, Brandenburg, Saxony","Wheat","water, wheat malt, barley malt, hops, yeast","sour, fruity, refreshing, yeasty, citrusy","yes","2.0","beer","chilled","yes"
"Biere de garde","Strong, unfiltered, top-fermented beer.","Bavaria, Austria, Switzerland","Barley","Barley, Hops, Water, Yeast","malty, hoppy, yeasty, bitter, earthy","no","6.5","beer","chilled","no"
"Bitter (Bier)","A dark, malty beer with a slightly bitter and roasted flavor.","North Rhine-Westphalia, Bavaria, Austria","Barley","Barley, hops, water, yeast","bitter, malty, hoppy, roasted, earthy, dry, smooth","no","4.5","beer","chilled","yes"
"Bitter Lemon","A bittersweet lemon-flavored soda.","North Rhine-Westphalia, Bavaria, Austria","Lemon","Lemon juice, sugar, carbonated water, quinine, lemon peel","bitter, sour, citrusy, refreshing","yes","0.0","soda","chilled","yes"
"Blond Ale","A golden-colored ale with a balanced malt profile and subtle hop character.","Bavaria, Austria, Switzerland","Barley","Barley, Hops, Water, Yeast","malty, hoppy, smooth, bitter, refreshing","yes","4.8","Beer","chilled","no"
