DishName,Description,Region,MainIngredient,Ingredients,StateOfMainIngredient,DietType,MealEatenAtPartOfDay,Variations,FlavorProfiles,PreparationMethod,PreparationTimeMinutes,MeatCut
Allgaeuer Kaesespaetzle,Cheesy noodles with caramelized onions and melted cheese,"Bavaria, Baden-Württemberg, Austria",Noodles,"flour, eggs, milk, cheese, onions, butter, nutmeg, salt, pepper",cooked,"vegetarian, omnivore","lunch, dinner","with bacon, with mushrooms","cheesy, savory, buttery, creamy, nutty, aromatic",fried,20,
Altmaerkische Hochzeitssuppe,"A hearty soup traditionally served at weddings, featuring dumplings and meat.","Brandenburg, Saxony-Anhalt, Poland",Dumpling,"chicken, beef, potatoes, carrots, leeks, celery, flour, eggs, milk, broth, marjoram, parsley",boiled,"omnivore, halal, kosher","lunch, dinner","vegetarian dumplings, different meat combinations","savory, umami, aromatic, buttery, mild",boiling,45,beef
Apfel Birnen Marmelade,A fruit preserve made with apples and pears.,"Austria, Switzerland, Bavaria",Apple,"apples, pears, sugar, lemon juice, pectin",cooked,"vegetarian, vegan, kosher, halal","breakfast, anytime","with lemon, with vanilla, with cinnamon","sweet, fruity, tangy",boiling,20,
Apfel-Kuerbis-Marmelade,A fruit preserve made with apples and pumpkin.,"Bavaria, Austria, Switzerland",Pumpkin,"Pumpkin, Apples, Sugar, Lemon Juice, Cinnamon",cooked,"vegetarian, vegan, kosher, halal",anytime,"with pears, with quince, with ginger","sweet, fruity, aromatic, tangy",simmering,30,
Apfelkren,Mashed apples with horseradish and cream.,"Bavaria, Austria, Switzerland",Apple,"apple, horseradish, cream, lemon juice, salt, pepper",mashed,"vegetarian, omnivore",anytime,"with vinegar, with yogurt","sour, aromatic, fruity, tangy, creamy, mild",mashed,10,
Apfelkuchen mit Decke,Baked apple cake with a streusel topping.,"Bavaria, Austria, Switzerland",Apple,"apples, flour, sugar, butter, eggs, cinnamon, lemon, vanilla",sliced,"vegetarian, omnivore",anytime,"crumble, with raisins, with custard","sweet, fruity, buttery, creamy, aromatic",baked,60,
Apfelkuechle,Baked pastry filled with apples and spices.,"Baden-Wurttemberg, Switzerland, Austria",Apple,"apple, flour, butter, sugar, cinnamon, lemon, egg, vanilla",sliced,"vegetarian, omnivore",anytime,"with raisins, with streusel topping, savory","sweet, fruity, aromatic, buttery, creamy",baked,30,
Apfelriemchen,Thinly sliced apples cooked in a sweet syrup.,"Bavaria, Austria, Switzerland",Apple,"apples, sugar, lemon juice, cinnamon, butter",sliced,"vegetarian, vegan, omnivore",anytime,"with raisins, with vanilla","sweet, fruity, tangy, buttery, aromatic",frying,20,
Apfelstrudel,Baked pastry filled with apples and spices.,"Austria, Bavaria, South Tyrol",Apples,"apples, flour, sugar, raisins, cinnamon, butter, lemon, breadcrumbs",sliced,"vegetarian, omnivore",anytime,"with quark, with poppy seeds","sweet, fruity, aromatic, buttery",baked,45,
Apfelstrudel mit fertigem Blaetterteig,Baked pastry filled with apples and spices.,"Austria, Bavaria, Saxony",Apples,"apples, puff pastry, sugar, cinnamon, raisins, lemon juice, breadcrumbs, butter",sliced,"vegetarian, omnivore",anytime,"with quark, with semolina, with poppy seeds","sweet, fruity, aromatic, buttery",baked,30,
Apfelwein-Pudding-Torte,A layered dessert featuring apple wine infused custard and a pastry crust.,"Hesse, Rhineland-Palatinate",Apple Wine,"apple wine, flour, butter, sugar, eggs, milk, vanilla, lemon zest, apples",liquid,"vegetarian, omnivore",anytime,"individual portions, different fruit additions","sweet, sour, creamy, fruity, buttery",simmering,45,
Arabisches Reiterfleisch,"Thinly sliced horse meat, marinated and served in bread.","Rhineland, North Rhine-Westphalia, Austria",Horse Meat,"horse meat, vinegar, mustard, onions, spices, bread, horseradish",sliced,omnivore,anytime,"with different spices, with different bread","sour, savory, aromatic, tangy, spicy",marinating,15,horse meat
Arme Ritter,Bread slices soaked in milk and fried.,"Austria, Bavaria, Switzerland",Bread,"bread, milk, eggs, sugar, cinnamon, butter",sliced,"vegetarian, omnivore","breakfast, anytime","French Toast, Eggy Bread","sweet, buttery, creamy, aromatic",frying,10,
