BeverageName,HasAlcohol,IsHot,IsSweet,Region
Coca-Cola,False,False,True,
Fanta (Orange),False,False,True,
Sprite,False,False,True,
Spezi,False,False,True,Bayern
Eistee (Pfirsich),False,False,True,
Bitter Lemon,False,False,True,
Ginger Ale,False,False,True,
Tonic Water,False,False,False,
Apfelsaft,False,False,True,
Apfelschorle,False,False,True,
Orangensaft,False,False,True,
Johannisbeersaft,False,False,True,
Kirschsaft,False,False,True,
Traubensaft,False,False,True,
Rhabarbersaft,False,False,True,
Multivitaminsaft,False,False,True,
Karottensaft,False,False,False,
Saftschorle,False,False,True,
Mineralwasser,False,False,False,
Stillwasser,False,False,False,
Kaffee,False,True,False,
Kaffee mit Milch,False,True,False,
Espresso,False,True,False,
Doppelter Espresso,False,True,False,
Cappuccino,False,True,True,
Latte Macchiato,False,True,True,
Milchkaffee,False,True,True,
Tee,False,True,False,
Schwarztee,False,True,False,
Kraeutertee,False,True,False,
Fruechtetee,False,True,True,
Pfefferminztee,False,True,False,
Gruener Tee,False,True,False,
Kamillentee,False,True,False,
Heisse Schokolade,False,True,True,
Kakao,False,True,True,
Pils,True,False,False,Norddeutschland
Helles,True,False,False,Bayern
Weizenbier,True,False,False,Bayern
Kristallweizen,True,False,False,Bayern
Radler,True,False,True,Bayern
Alsterwasser,True,False,True,Norddeutschland
Dunkelbier,True,False,False,
Export,True,False,False,
Kellerbier,True,False,False,Franken
Zwickl,True,False,False,Franken
Bockbier,True,False,False,
Alkoholfreies Bier,False,False,False,
Diesel,True,False,True,
Bananenweizen,True,False,True,Bayern
Colaweizen,True,False,True,Bayern
Russ,True,False,True,Bayern
Weisswein,True,False,True,Rheinland-Pfalz
Rotwein,True,False,True,Rheinland-Pfalz
Rosewein,True,False,True,
Weinschorle,True,False,True,
Federweisser,True,False,True,Rheinland-Pfalz
Sekt,True,False,True,
Hugo,True,False,True,
Aperol Spritz,True,False,True,
Korn,True,False,False,Norddeutschland
Obstler,True,False,True,Sueddeutschland
Williams-Birne,True,False,True,Baden-Wuerttemberg
Kraeuterlikoer,True,False,True,Niedersachsen
Jaegermeister,True,False,True,Niedersachsen
Underberg,True,False,True,
Ramazotti,True,False,True,
Averna,True,False,True,
Ouzo,True,False,False,
Grappa,True,False,False,
Aquavit,True,False,False,
Whiskey,True,False,False,
Gin,True,False,False,
Vodka,True,False,False,
Rum,True,False,False,
Eierlikoer,True,False,True,
