Name,Description
Brezel,"Considered an iconic symbol of Germany, the pretzel is a type of traditional baked good that is made by combining flour, salt, malt, yeast, and water. The resulting dough is then shaped into a well-known knotted shape of a pretzel before it is baked. Pretzels are often dipped in a lye solution (natronlauge in German) before they are baked, and then they are called laugenbrezel, a Bavarian-style pretzel distinguished by a nice, brown, and crispy exterior that surrounds the soft interior. Coarse salt is usually sprinkled over the surface of the pretzels, but other toppings may also be used, including sesame, pumpkin, sunflower, or poppy seeds. Regional variations of the pretzel abound, with some of them using fat to obtain a softer dough and others calling for different types of flour such as whole wheat flour or spelt flour. German pretzels come in both sweet and savory versions, and their texture may range from soft to hard. They are usually enjoyed warm as a snack with butter or along with German wurst sausages and a cold German beer on the side for an authentic German experience. The pretzel is a favorite street snack and a staple at any festival, holiday, and Christmas market in the country. Its versatile nature has given rise to numerous variations including New Year’s pretzels (neujahrbrezel), Oktoberfest pretzels (also called wiesnbrezn), and Lent pretzels (fastenbrezeln), among many others. In Alsace, France, the pretzel is known as bretzel d'Alsace."
Bratwurst,"What was once an item for survival during the cold winter months and a technique of not wasting meat scraps is nowadays a delicacy consumed throughout Germany and abroad. Bratwurst stems from two words, an Old High German word brat, meaning meat without waste, and wurst, which means sausage. Bratwurst has origins with the Celtics, but the Franconians developed it further. It dates back to the 1300s in a region that would eventually become Eastern Germany. Bratwurst is usually consumed for breakfast, due to the tradition of farmers who would make the sausages in the morning and eat them by noon, as they would otherwise spoil. Technically, a bratwurst must be made from either pork, veal, or beef, but there are more than 40 varieties of the sausage throughout Germany. The oldest recipe for bratwurst was discovered in 2000 by a historian named Heinrich Höllerlhas. The same recipe, for the Thuringian bratwurst (one of the most famous varieties), says that the makers had to use only the purest, unspoiled meat in the production process. Today, bratwursts are commonly served with sauerkraut, potato salad, horseradish, or mustard in Germany, but the sausages are also popular in the United States, especially in Wisconsin, where they are commonly found at summer cookouts and barbecues."
Schwarzwaelder Kirschtorte,"Black Forest cherry cake is a popular German dessert consisting of chocolate sponges that are coated in whipped cream and dotted with kirschwasser-infused cherries. Some varieties use the kirschwasser brandy to soak the chocolate layers or to lightly flavor the whipped cream. When assembled, the cake is lavishly decorated with whipped cream, chocolate shavings, and cherries. Among the numerous theories about its invention, it is still debated whether the cake was created by confectioner Josef Keller or pastry chef Erwin Hildenbrand. What is certain is that Schwarzwälder Kirschtorte originated in the Black Forest area and was in all likelihood modeled on the colors of the regional folk dresses. Since its first appearance in written form in 1934, it has become a well-known German dessert that is enjoyed throughout the country.  "
Lebkuchen,"This traditional German treat is mainly associated with Christmas and winter holidays. The term lebkuchen covers a wide variety of different types of honey or ginger-flavored cookies which are traditionally baked on oblaten (thin wafers), and glazed or coated with either dark chocolate or sugar icing. Additional ingredients may include various spices like cloves, aniseed, nutmeg, coriander, and cardamom, with different types of nuts or candied fruit. Best-known varieties of this cookie include the heart-shaped lebkuchenherzen which are often decorated with icing and different inscriptions, the German version of the gingerbread man called honigkuchenpferd (lit. honey cake horse), and hexenhausel (lit. witch’s house), while the most famous is the Nurnberger Elisenlebkuchen. In Germany, the earliest records date back to the year 1296 and the city of Ulm, and the year 1395 and the city of Nurnberg. The area itself was an intersection of many trade routes that supplied it with spices necessary and thus helped to keep the production of lebkuchen alive and thriving. In 1996, the Nurnberger lebkuchen was granted the protected designation of origin (PDO) status which applies to all the lebkuchen produced in the city of Nurnberg."
Stollen,"Stollen is one of German Christmas classics. This rich fruit bread is prepared with a buttery and sweet yeast dough that is usually spiced, lemon-flavored, and enriched with various dried fruits and marzipan. Though it may appear in different forms, it is usually oblong and covered with generous amounts of melted butter and powdered sugar. Among the different varieties, Dresdner stollen is considered as the oldest and the most popular version, whose origins date back to the 15th century. Originally, stollen was plain and prepared only with flour, yeast, and oil, and it was only in 1490, when the Pope Innocent VIII lifted the ban on baking with butter during Advent, that the stollen started to develop into a dense and rich cake that is known today."
Sauerbraten,"The traditional German pot roast is one of the best ways to transform more tougher cuts of beef into a tender, succulent meal. Chuck and bottom round are most favored cuts for this German classic, while the key to a perfect sauerbraten is in its lengthy marinade of red wine, tart vinegar, and spices, which tenderizes the meat infusing it with sharp, tangy flavors. After long hours of braising, the remaining cooking liquid is whisked into einbrenne (roux), and finally simmered into a thick, brown gravy. Sauerbraten is traditionally served with German favorites such as spätzle egg noodles, bread dumplings, or boiled potatoes and a side of braised or roasted red cabbage."
Leberkaese,"Leberkäse is a traditional product consisting of ground meat that is flavored with onions and baked into a meatloaf. The loaf is characterized by a crispy crust on the exterior, while the interior remains juicy and pink. The dish can be served either hot or cold, and it is recommended to pair it with mustard and bread, while some like to fry the slices of meatloaf in a pan and consume it as a quick snack."
Currywurst,"No other dish in Germany is as well known as currywurst, a street snack that has become an indispensable part of Germany’s culinary heritage. The dish is made from two essential parts - boiled and subsequently fried sausage, served whole or sliced, and a smooth and rich curry-spiced tomato sauce. With a portion of french fries or a kaiser roll on the side, the dish is usually lightly dusted with yellow curry powder. A wide range of sausages are used for currywurst, but the famous German bratwurst is the most commonly used variety. The real star of this dish is its gravy-like sauce made with puréed tomatoes and infused with the aromatic curry powder. The popularity of currywurst in Germany has generated numerous legends about its origins. Even though Hamburg is sometimes mentioned as its birthplace, Berlin is the city that is most commonly associated with the invention of this delicious dish. The most famous legend tells the story of Herta Heuwer, a Berlin local who is widely credited as the inventor of the tomato and curry concoction. In 1949, amid the aftermath of World War II, many ingredients were hard to come by and life was tough. However, thanks to Herta’s negotiating skills, she was able to get hold of a hard to come by ingredient –  British yellow curry powder. She then mixed it with puréed tomatoes and other spices to create the base sauce, which she served with the sliced sausage. The dish became an instant success. Herta patented her creation and never revealed her original recipe. Later, as currywurst grew in popularity, numerous varieties popped up all over Berlin and the rest of Germany. No two are the same, and every local has their own favorite style and a favorite currywurst place. Germans are so fond of this fast food staple that they have even built a museum in its honor. Located in Berlin, the Currywurst Museum offers a glimpse into the history of the legendary currywurst, as well as a detailed overview of the numerous varieties, cooking styles, and serving options of this famous dish."
Weisswuerste,"Weisswurst or white sausage is a famous specialty of the city of Munich, invented in 1857 by a butcher named Sepp Moser. He was working in a restaurant next to his butcher's shop and had used the last of thick sausage skins used to make regular sausages. To solve the problem, he opted for thin skins. As he made the sausage, he was worried that it would burst open during the frying process, so he put them in hot water and cooked them for 10 minutes. After serving the cooked sausages to the guests, the new dish was praised, and Weisswurst was born. The sausages consist of a mixture of pork, veal, and pork fat, seasoned with parsley, pepper, lemon, and salt. Today, the sausages are most popular in southern Germany, and they are one of the most consumed items at Oktoberfest. In restaurants, Weisswurst is always served hot, usually accompanied by pretzels and, ideally, Händlmaier's Hausmacher Senf, although it can be served with other Bavarian sweet mustard varieties if the original Händlmeier brand is unavailable. The sausage casing is not intended for consumption, so the sausages are often sliced along their length, and the casing is peeled. Interestingly, it is considered a taboo to eat Weisswurst after noon in Bavaria. This tradition stems from the past when the sausages were made fresh, and were supposed to be consumed as quickly as possible. "
Rouladen,"Rouladen are traditional German meat rolls stuffed with a variety of ingredients. They are always served accompanied by a creamy sauce. The rolls are usually made with long and thin beef steaks, which are pounded, generously seasoned, and usually covered with a layer of sharp German mustard, which flavors them and keeps the meat juicy and tender. Traditional stuffing inside rouladen usually incorporates thin strips of bacon and sliced pickles, but there are many different regional combinations which might include carrots, onion, or bread. The steaks are typically rolled into small logs and secured with toothpicks. Rouladen are shortly seared on all sides, then braised in a flavorful mixture of wine and vegetable or meat broth. The same broth, commonly thickened with flour, is usually used as the base for a velvety sauce accompanying the rolls. Potato dumplings, braised red cabbage, mashed potatoes, spätzle, different vegetables, or soft boiled potatoes can all be served as side dishes with this German classic. Even though it is believed that the name roulade derives from the French rouler, which means to roll, this delicacy is considered to be an authentic German dish."
Schweinebraten,"Schweinebraten is a traditional pork roast originating from Bavaria. It is typically prepared for Sunday lunch and consists of sliced pork roast that's served with homemade gravy, semmelknödel (bread dumplings) or potato dumplings, and either sauerkraut or rotkohl (red cabbage). When properly prepared, the meat should be succulent and very tender. The best part of pork to use for this dish is boneless pork shoulder. Before the preparation, pork is often rubbed with mustard, marjoram, or minced garlic, giving it a bit of extra flavor. For the best possible experience, it is recommended to pair the dish with a cold German beer on the side, preferably a lager."
