Name,Description
Lager,"Along with ale, lager is one of the two main beer categories, and in terms of production, it is the most common beer style in the world. The main distinction between lagers and ales depends on the type of yeast. Lagers use Saccharomyces pastorianus, generally known as bottom-fermenting yeasts, which ferment more slowly and at cooler temperatures than ale yeasts. However, there are several exceptions to the rule, and some beer styles don’t necessarily fit in one category. Lagers come in a wide variety of styles, which differ in color, alcohol content, and flavors, but they tend to have a cleaner and crispier character than ales. Some of the most popular examples include pilsner, dunkel, helles, and bock styles. Lager style originated in central Europe, but Bavaria is considered as its spiritual home. Following the German beer purity law (Reinheitsgebot) introduced in 1516 by Duke Wilhelm IV of Bavaria, all beer in Bavaria had to be brewed during cooler months, between October and April. This inadvertently directed the entire region in the production of cold-fermenting lagers. The word lager originates from German lagern, meaning to store. The name relates to the maturation (lagering) period in which fermented brew is stored for several weeks or several months. Cooler central European climate proved suitable for lagering, and lagers were only internationally popularized in the late 19th century after advancements in mechanical refrigeration. Because the lager family is incredibly diverse, the examples can match a wide variety of dishes. "
Riesling,"Riesling most likely hails from the Rhine region of Germany, but it has shown great success in other European wine regions, primary Austria and Alsace, as well as the United States and Australia. However, the best expressions of the grape are thought to be in Germany where Riesling remains the most planted grape variety. Always high in natural acidity, Riesling wines are incredibly versatile and may range from dry, medium dry or medium sweet to sweet styles. Their primary aromas include a complex combination of ripe peaches, nectarines, pears, apples, and citrus that are often accompanied by herbal, floral, mineral, and earthy nuances, while a distinctive element found in aged Riesling wines is the smoky aroma of petrol. Because of their versatile styles, German Riesling wines tend to be incredibly food-friendly. While dry styles perfectly match poultry, fish, pork, cream sauces, and especially fried and spicy food, sweeter styles can pair well with blue cheese, foie gras, and fruit-based desserts."
Helles,"Helles is a German-style lager that first appeared in Munich in 1894. It was a Bavarian answer to light Czech pilsner. Although Bavaria heavily relied on strong and dark lagers, the popularity of crisp and golden pilsner beers influenced Bavarian brewers to start producing a similar style. Traditional Helles is typically more malt-forward and has a firmer body than pilsner and other lager styles, but still remains soft and medium-bodied. It is clean, easy-drinking, refined, fresh, and dry, with light hop bitterness and subtle malt sweetness. Helles-style beers are typically quite refreshing and usually range from 4.8 to 5.2% ABV, but those above 5% are often classified as Bavarian Export. Helles lagers would pair well with light dishes, including salads and seafood, but they can also match spicy and flavor-packed dishes, as well as traditional German fare and mild cheese varieties. "
Jaegermeister,"This popular German herbal liqueur was developed in 1934 by Curt Mast. He created the base of the drink with 56 different herbs, roots, and fruits that are macerated in a combination of alcohol and water. The procedure is repeated several times, and the drink is left to age in oak casks before it is combined with alcohol, caramel, sugar, and water to achieve a drinking strength of 35% vol. Since Mast was a hunter, he drew the inspiration for the now classic Jägermeister logo—a stag with a glowing cross between its antlers—from the tale of St. Hubertus, the patron saint of hunters. Nowadays, Jägermeister is a renowned international drink that should always be served ice-cold and is predominantly enjoyed as a shot, but it can also blend well in cocktails."
Gluehwein,"Glühwein is a type of mulled wine enjoyed in Germany, Austria, and Switzerland. It is a staple at Christmas markets and is often enjoyed as an après-ski drink. This German version is a classic, combining red wine, citrus zest, and spices such as anise, cinnamon, and cloves. It is usually sweetened to taste. The ingredients are mixed and heated and should never be boiled. Variations sometimes use white instead of red wine, and some versions come with a liquor shot (mit Schuss). First bottled versions of German mulled wine appeared in Augsburg in the 1950s, and often these pre-sweetened and pre-spiced versions are reheated and served at Glühwein stands. One of the most interesting variations of the drink is called Feuerzangenbowle. It is made with a rum-soaked sugarloaf that is suspended over mulled wine and set on fire. The sugar then melts and slowly drips into the wine. "
Dunkel,"Dunkel is a German dark lager that is mostly associated with Bavaria and Munich. This dark beer, which can range from copper to dark brown, is mainly brewed from Munich malt which gives the beer its typical caramel-like and toasty character. The beers that fall under this category will typically be smooth, medium-bodied, easy-drinking, subtly sweet, and not too heavy. Typical toasty notes may be accompanied by caramel, toffee, and nut aromas, while hop character can be present but should remain subtle. Dunkel beers pair exceptionally well with classic Bavarian dishes such as sausages, fruit-based sauces, and roasted or barbecued meat.  "
Weissbier,"Weissbier is a classic Bavarian wheat ale that is top-fermented and characterized by its mousse-like foam and cloudy appearance—which is a result of a large proportion of wheat and a small amount of barley malt used in its production. German weissbier has to be made with at least 50% malted wheat, but most producers use more than the minimum. These beers are fermented with yeast strains that provide typical clove, banana, smoke, and occasionally even bubble gum aroma. Weissbiers are typically malty and subtly bitter, and though they are traditionally fermented in the bottle, this practice has become rare. Nevertheless, they retain their lightness, creamy texture, and effervescence. Although this beer style is nowadays mostly associated with Bavaria, wheat beers have been produced since antiquity. The European origin is believed to be in the Czech Bohemia, from where it spread to Bavaria. Throughout the centuries, it declined in popularity, but following the 1960s it gained back its former glory and became one of the most sought-after styles in Germany and in the world. These food-friendly beers pair with poultry, sausages, seafood, light dishes, and salads as well as fresh and creamy cheese varieties.  "
Koelsch,"Kölsch (the Low German name for Cologne) is a specialty beer brewed only in Cologne. A document known as the Kölsch Convention was signed in 1986 by the directors of two dozen Kölsch breweries, ensuring that Kölsch beer can only be brewed in Cologne and its surrounding area, and nowhere else in the world. The guidelines stipulated that Kölsch is not only a type of beer, but also a designation of origin. They specify that true Kölsch beer is a pale yellow, clear, highly fermented, fully-rounded ale, brewed according to the German Beer Purity Law of 1516. It is the lightest ale in Germany, and it is served in traditional, tall, cylindrical Kölsch glasses. Kölsch is usually enjoyed in a traditional beer pubs known as Kölschkneipe or Brauhaus. There, the 'Köbes' (special waiters dressed in blue aprons with a rough Kölsch dialect) serve this fantastic ale one after another until you signal you have had enough by placing your coaster on top of your glass."
Eiskaffee,"This German-style ice coffee is a combination of chilled brewed coffee and ice cream. It is usually made with an extended espresso and a scoop of vanilla ice cream, and though it is not sweetened, it can incorporate a splash of rum. Eiskaffee is usually served in a tall glass, together with a spoon and a straw. Traditionally, it is topped with unsweetened whipped cream. "
German Pilsner,"German Pilsner is a light, clean-tasting lager that was modeled on the namesake Czech variety. It is brewed from barley malt, and it typically has a flowery, herbal, and spicy hop bitterness that is balanced with a moderately malty backbone. First brews that were branded as German Pilsner were introduced in the 1870s, and though pilsner as a style first appeared in the Czech city Plzeň (Pilsen), it was created by a Bavarian Josef Groll. It is generally said that a separate German version was perfected following WWII and the introduction of modern brewing techniques as well as using local hops. When compared, German Pils is usually lighter in color, body, and hop bitterness. It also tends to be drier and crispier than Bohemian versions. This beer style is a food-friendly pairing that goes well with spicy and hearty dishes, as wells as grilled meat, sausages, hamburgers, and seafood.  "
